arm,outcome,ate_pp,se_pp,n_arm,n_control,control_mean_pp,outcome_sd_pp,p,p_bh
Consensus Framing 1,Intent_Post,0.9139829452546728,0.44254370943893917,1039,3099,33.85680864795095,29.260866235227482,0.03889517440127069,0.05983872984810875
Consensus Framing 2,Intent_Post,1.6121148199709041,0.4437938018473924,1031,3099,33.85680864795095,29.260866235227482,0.0002806056307014202,0.0008314240909671708
Dire But Solvable Framing,Intent_Post,2.339685369679685,0.44156948504363425,1045,3099,33.85680864795095,29.260866235227482,1.1671524048231798e-07,1.1671524048231798e-06
Free Market Framing,Intent_Post,1.4189425393149013,0.44204761786091157,1042,3099,33.85680864795095,29.260866235227482,0.0013276664282561184,0.002950369840569152
Gains Framing,Intent_Post,2.4849432213966707,0.4461030698537799,1017,3099,33.85680864795095,29.260866235227482,2.5425105222606818e-08,2.905726311155065e-07
High Social Distance Framing,Intent_Post,0.8036289420981224,0.4430089442140372,1036,3099,33.85680864795095,29.260866235227482,0.06967400133948727,0.09610207081308589
Purity Framing,Intent_Post,3.1249916747239967,0.4442800063704086,1028,3099,33.85680864795095,29.260866235227482,2.009346179370167e-12,5.358256478320446e-11
System Preservation Framing,Intent_Post,3.666336327063308,0.44271742304935335,1038,3099,33.85680864795095,29.260866235227482,1.2169798960956592e-16,4.867919584382636e-15
Warmth Framing,Intent_Post,0.6529619988790657,0.44708352718682853,1011,3099,33.85680864795095,29.260866235227482,0.1441548529602172,0.1747331551032936
Binding Framing,PoliciesSp_Post,0.7230702844166966,0.4260284820595464,1026,3045,53.29967159277504,24.23131789627281,0.0896523142959461,0.12010109198684875
Consensus Framing 1,PoliciesSp_Post,0.9372714093115937,0.42696283505555965,1020,3045,53.29967159277504,24.23131789627281,0.028148818698773524,0.04503810991803764
Consensus Framing 2,PoliciesSp_Post,2.009585268071246,0.4273026058345116,1018,3045,53.29967159277504,24.23131789627281,2.564219470586471e-06,1.5779812126685975e-05
Dire But Solvable Framing,PoliciesSp_Post,1.4474412123979963,0.42541420689092413,1030,3045,53.29967159277504,24.23131789627281,0.0006678994924180919,0.0016172821080988598
Free Market Framing,PoliciesSp_Post,1.3268293997081058,0.4275921173209585,1016,3045,53.29967159277504,24.23131789627281,0.0019155289830596015,0.003831057966119203
Gains Framing,PoliciesSp_Post,2.048982698552171,0.43099494461273635,995,3045,53.29967159277504,24.23131789627281,1.9935609539554387e-06,1.3290406359702924e-05
High Social Distance Framing,PoliciesSp_Post,0.9025610711081904,0.4285436483686253,1010,3045,53.29967159277504,24.23131789627281,0.035194594156075884,0.05520720651933472
Purity Framing,PoliciesSp_Post,1.3232545577475425,0.4288695834808846,1008,3045,53.29967159277504,24.23131789627281,0.0020324614400511983,0.003965778419612094
System Preservation Framing,PoliciesSp_Post,1.9704139120591537,0.4282249998758188,1012,3045,53.29967159277504,24.23131789627281,4.1975758797892235e-06,2.2387071358875857e-05
Warmth Framing,PoliciesSp_Post,0.7198075485384637,0.43096518114268056,995,3045,53.29967159277504,24.23131789627281,0.09487543885219285,0.1244268050520562
Binding Framing,Candidate_Post,0.5202030598106069,0.47965625969166503,1022,3048,32.53330052493438,22.05305711638632,0.2781285273199622,0.322467857762275
Consensus Framing 1,Candidate_Post,0.8767845286989258,0.4819498876556196,1009,3048,32.53330052493438,22.05305711638632,0.06887418513392086,0.09610207081308589
Consensus Framing 2,Candidate_Post,1.9231880057446658,0.4814081089621935,1012,3048,32.53330052493438,22.05305711638632,6.471546433714882e-05,0.00025386319514548837
Dire But Solvable Framing,Candidate_Post,2.1404208159477425,0.47895247556685816,1026,3048,32.53330052493438,22.05305711638632,7.859978230567497e-06,3.929989115283748e-05
Free Market Framing,Candidate_Post,0.976744102003381,0.4812290251099796,1013,3048,32.53330052493438,22.05305711638632,0.04238840622104235,0.06279763884598866
Gains Framing,Candidate_Post,1.6751243101082016,0.484671066487349,994,3048,32.53330052493438,22.05305711638632,0.0005478311769331146,0.0014137578759564247
High Social Distance Framing,Candidate_Post,0.7240363258813202,0.4821239782213231,1008,3048,32.53330052493438,22.05305711638632,0.13315812664512652,0.16388692510169417
Purity Framing,Candidate_Post,1.3445964682842273,0.48305931849875144,1003,3048,32.53330052493438,22.05305711638632,0.005377556898247804,0.00977737617863237
System Preservation Framing,Candidate_Post,1.8223410048933233,0.48069565719045587,1016,3048,32.53330052493438,22.05305711638632,0.00015001208254025356,0.0005000402751341786
Warmth Framing,Candidate_Post,0.44900381779898957,0.48430504454953005,996,3048,32.53330052493438,22.05305711638632,0.3538696733590895,0.3878991015548368
Binding Framing,Companies_Post,0.44447255969910526,0.4201973213368546,1030,3056,70.89528795811518,27.587562636289984,0.2901598365085176,0.3316112417240201
Consensus Framing 1,Companies_Post,0.00945491413496365,0.4217374270500152,1020,3056,70.89528795811518,27.587562636289984,0.9821137569641213,0.9821137569641213
Consensus Framing 2,Companies_Post,1.2218369261534399,0.4217316425385115,1020,3056,70.89528795811518,27.587562636289984,0.0037652099558978984,0.0071718284874245685
Dire But Solvable Framing,Companies_Post,1.6708162750443591,0.4200427413382071,1031,3056,70.89528795811518,27.587562636289984,6.957654693031568e-05,0.00025386319514548837
Free Market Framing,Companies_Post,1.1159026548552604,0.4217612221918811,1020,3056,70.89528795811518,27.587562636289984,0.008149409397328892,0.014487838928584695
Gains Framing,Companies_Post,0.8106547769408317,0.42491340285097545,1000,3056,70.89528795811518,27.587562636289984,0.05641555330569209,0.08059364757956013
High Social Distance Framing,Companies_Post,-0.2682310987096844,0.4215954031266966,1021,3056,70.89528795811518,27.587562636289984,0.5246273641308576,0.5522393306640607
Purity Framing,Companies_Post,1.7500620023041855,0.42345579374669506,1009,3056,70.89528795811518,27.587562636289984,3.5835619185611304e-05,0.00015742140354871813
