arm,outcome,ate_pp,se_pp,n_arm,n_control,control_mean_pp,outcome_sd_pp,p,p_bh
System Preservation Framing,Intent_Post,5.374064783847395,1.0631926957874602,1040,3105,33.827858293075685,29.260866235227482,4.311853856076808e-07,3.880668470469127e-05
Warmth Framing,Intent_Post,1.472586810781884,1.0291771933070302,1011,3105,33.827858293075685,29.260866235227482,0.15247637826742197,0.30495275653484394
Binding Framing,PoliciesSp_Post,1.0373839639966178,0.8749754319076992,1028,3049,53.29165300098393,24.23131789627281,0.23577439057678862,0.3834502119937295
Consensus Framing 1,PoliciesSp_Post,1.1090822931337172,0.8948968163923686,1020,3049,53.29165300098393,24.23131789627281,0.21521925026455013,0.3834502119937295
Consensus Framing 2,PoliciesSp_Post,1.0396338359512427,0.8752220395346804,1018,3049,53.29165300098393,24.23131789627281,0.23489190984580444,0.3834502119937295
Dire But Solvable Framing,PoliciesSp_Post,1.9520424403351768,0.8757395463280078,1031,3049,53.29165300098393,24.23131789627281,0.02581246189823144,0.09368927599099498
Free Market Framing,PoliciesSp_Post,1.4998907551616014,0.8682518047346575,1017,3049,53.29165300098393,24.23131789627281,0.08408084764906325,0.22082785928108614
Gains Framing,PoliciesSp_Post,3.164214601824497,0.8826694575899968,997,3049,53.29165300098393,24.23131789627281,0.00033730567042900277,0.007164871213772758
High Social Distance Framing,PoliciesSp_Post,0.7041390782239958,0.8690411225054588,1010,3049,53.29165300098393,24.23131789627281,0.41779749190187954,0.5371682038738451
Purity Framing,PoliciesSp_Post,0.7498489753006581,0.8871037688952045,1012,3049,53.29165300098393,24.23131789627281,0.39795584538115536,0.519072841801507
System Preservation Framing,PoliciesSp_Post,2.1032137314938595,0.8807382423089523,1013,3049,53.29165300098393,24.23131789627281,0.01693977609735124,0.07622899243808057
Warmth Framing,PoliciesSp_Post,1.1040756422321536,0.8697875014749585,995,3049,53.29165300098393,24.23131789627281,0.2043118024749574,0.3834502119937295
Binding Framing,Candidate_Post,1.2115675102562307,0.7676627168238503,1023,3048,32.53330052493438,22.05305711638632,0.11450704268645363,0.256391046249031
Consensus Framing 1,Candidate_Post,1.2263625077712632,0.8246257290740463,1009,3048,32.53330052493438,22.05305711638632,0.13696868060395656,0.2866786338222347
Consensus Framing 2,Candidate_Post,1.799703427634789,0.811984924795921,1012,3048,32.53330052493438,22.05305711638632,0.02666243095523564,0.09368927599099498
Dire But Solvable Framing,Candidate_Post,2.7702535159614285,0.7961082909993314,1027,3048,32.53330052493438,22.05305711638632,0.0005018920125340146,0.007164871213772758
Free Market Framing,Candidate_Post,0.9285221351641368,0.7878744961871668,1015,3048,32.53330052493438,22.05305711638632,0.23859124301832058,0.3834502119937295
Gains Framing,Candidate_Post,1.9202170630053175,0.7960184801906399,995,3048,32.53330052493438,22.05305711638632,0.015853232519753194,0.07622899243808057
High Social Distance Framing,Candidate_Post,0.7166994750656173,0.8129402704643719,1011,3048,32.53330052493438,22.05305711638632,0.37798561396530517,0.519072841801507
Purity Framing,Candidate_Post,2.204984619631915,0.8175893771583173,1003,3048,32.53330052493438,22.05305711638632,0.006998113122607013,0.052485848419552596
System Preservation Framing,Candidate_Post,1.755823490813647,0.8029732853395692,1016,3048,32.53330052493438,22.05305711638632,0.028767906285383497,0.09368927599099498
Warmth Framing,Candidate_Post,0.17227176422224488,0.7776257799252904,996,3048,32.53330052493438,22.05305711638632,0.8246754498832545,0.8661232952091831
Binding Framing,Companies_Post,1.0752385208852218,0.9793346777204645,1031,3060,70.85718954248367,27.587562636289984,0.27223612786525164,0.4152754492859771
Consensus Framing 1,Companies_Post,0.7176470588235162,1.022578854565906,1020,3060,70.85718954248367,27.587562636289984,0.48280315544969143,0.585647686172566
Consensus Framing 2,Companies_Post,0.8683006535947584,1.0199467148176422,1020,3060,70.85718954248367,27.587562636289984,0.39459182681101246,0.519072841801507
Dire But Solvable Framing,Companies_Post,2.1744949062715904,0.9880434155562766,1031,3060,70.85718954248367,27.587562636289984,0.027749543536320538,0.09368927599099498
Free Market Framing,Companies_Post,2.4444444444444287,0.9705669357023372,1020,3060,70.85718954248367,27.587562636289984,0.011783119138048432,0.07574862303031135
Gains Framing,Companies_Post,2.1834771241829998,1.000914512980374,1000,3060,70.85718954248367,27.587562636289984,0.029147774752753996,0.09368927599099498
High Social Distance Framing,Companies_Post,0.8489422252919212,0.9921055533715056,1022,3060,70.85718954248367,27.587562636289984,0.3921651325950136,0.519072841801507
Purity Framing,Companies_Post,1.1841054690789434,1.0002773566836949,1009,3060,70.85718954248367,27.587562636289984,0.23650129341079917,0.3834502119937295
System Preservation Framing,Companies_Post,1.933820956204002,0.9968923654991643,1016,3060,70.85718954248367,27.587562636289984,0.0523980073247249,0.152123247071782
Warmth Framing,Companies_Post,-0.5342414687818291,1.0193973706531163,995,3060,70.85718954248367,27.587562636289984,0.6002258358538313,0.6752540653355601
Binding Framing,IntentNp_Post,-0.5655591773726414,0.8528508297118048,1030,3044,54.54517082785808,24.448950258038447,0.5072411361558573,0.5928792500523007
Consensus Framing 1,IntentNp_Post,0.705399390454069,0.887011189863057,1023,3044,54.54517082785808,24.448950258038447,0.4264656387931417,0.5405902463575036
Consensus Framing 2,IntentNp_Post,0.9978505186115427,0.8914505869096956,1015,3044,54.54517082785808,24.448950258038447,0.2629883154340622,0.4080853170528551
Dire But Solvable Framing,IntentNp_Post,1.299088793798795,0.9012861028849838,1022,3044,54.54517082785808,24.448950258038447,0.14947954070230418,0.30495275653484394
Free Market Framing,IntentNp_Post,1.3273299915453904,0.8825043552866996,1017,3044,54.54517082785808,24.448950258038447,0.13256869260217258,0.2840757698617984
Gains Framing,IntentNp_Post,1.391289584650231,0.8871061809082991,1002,3044,54.54517082785808,24.448950258038447,0.11680036551344744,0.256391046249031
High Social Distance Framing,IntentNp_Post,0.9628910345966801,0.888912018144437,1013,3044,54.54517082785808,24.448950258038447,0.2787089082757005,0.41806336241355074
Purity Framing,IntentNp_Post,0.6616744102371612,0.8922738158614993,1008,3044,54.54517082785808,24.448950258038447,0.45835407542427975,0.5729425942803497
System Preservation Framing,IntentNp_Post,3.4037987501595874,0.8858827193788861,1019,3044,54.54517082785808,24.448950258038447,0.00012190266431507678,0.005402955404842394
Warmth Framing,IntentNp_Post,0.1387835192382596,0.8897890729090021,993,3044,54.54517082785808,24.448950258038447,0.876053906583683,0.9062626619831203
Binding Framing,Donation,-1.4108139081540116,1.6364476247905713,1029,3046,61.54103742613263,45.39308400659215,0.38862159364460425,0.519072841801507
Consensus Framing 1,Donation,-1.0861354653483204,1.6361960791608596,1020,3046,61.54103742613263,45.39308400659215,0.5068071728106689,0.5928792500523007
Consensus Framing 2,Donation,-3.946549237156255,1.6470979373527936,1016,3046,61.54103742613263,45.39308400659215,0.016572274235854556,0.07622899243808057
Dire But Solvable Framing,Donation,-0.6221841705446849,1.6297155941988155,1029,3046,61.54103742613263,45.39308400659215,0.7026284916145082,0.771177612747631
Free Market Framing,Donation,-1.4977335913243692,1.650280006083643,1017,3046,61.54103742613263,45.39308400659215,0.36410898421732907,0.519072841801507
Gains Framing,Donation,-2.0481081332033426,1.671677353690925,990,3046,61.54103742613263,45.39308400659215,0.22050685100002265,0.3834502119937295
High Social Distance Framing,Donation,-1.4475334891247584,1.6522575443632963,1016,3046,61.54103742613263,45.39308400659215,0.38097874741263626,0.519072841801507
Purity Framing,Donation,0.5338228533084859,1.6486431598593547,1002,3046,61.54103742613263,45.39308400659215,0.7460930391759374,0.8090165485040284
System Preservation Framing,Donation,-1.9370926529570909,1.6418995860601846,1014,3046,61.54103742613263,45.39308400659215,0.23808473141285735,0.3834502119937295
Warmth Framing,Donation,-0.3676973858911836,1.6527098134642049,994,3046,61.54103742613263,45.39308400659215,0.8239390603058315,0.8661232952091831
